V,I1,P,f,N
200.22,6.031,221.7,49.943,1492
189.86,5.3,203.4,49.948,1495
180.37,4.597,186.8,50.047,1497
170,4.06,169.7,49.98,1494
160.05,3.648,154.4,49.99,1495
149.95,3.265,144.9,50.026,1496
139.83,2.951,135.8,50.027,1494
130.02,2.674,122.9,50.022,1493
120.17,2.417,116.6,50.034,1492
109.85,2.152,109.1,50.034,1491
100.03,1.939,104.1,50.033,1490
90.16,1.749,96.3,50.024,1488
80.17,1.571,92.8,49.997,1484
70.02,1.413,87,50,1479
59.95,1.297,79.1,50,1473
50.09,1.245,76.4,50.006,1462
39.89,1.295,73.1,50.008,1439
29.98,1.622,75.3,50.005,1382
