frequency,v1,v2,,,t,,,
20,770,760,0.987012987,,0.00E+00,1540,1520,0
1.00E+02,775,760,0.980645161,,0.00E+00,1550,1520,0
2.00E+02,775,750,0.967741936,,1.40E-04,1550,1500,-10.1
5.00E+02,775,760,0.980645161,,1.76E-04,1550,1520,-31.7
1.00E+03,775,760,0.980645161,,1.60E-04,1550,1520,-57.6
2.00E+03,775,760,0.980645161,,1.38E-04,1550,1520,-99.4
5.00E+03,770,760,0.987012987,,7.70E-05,1540,1520,-138.6
1.00E+04,770,760,0.987012987,,4.30E-05,1550,1500,-154.8
2.00E+04,770,755,0.980519481,,2.30E-05,1540,1510,-165.6
1.00E+05,0,0,#DIV/0!,,5.00E-06,1540,1520,-180
1.50E+03,775,760,0.980645161,,1.54E-04,1550,1520,-83.2
3.00E+03,775,750,0.967741936,,1.08E-04,1550,1500,-116.6
